user_id,d,b,w,bookmarks,exercises
1,9.5,1.1,22.5,3556,679
2,8.25,1.1,20,3,0
6,8.25,1.1,20,3,0
7,2,1.1,20,1,0
8,9.5,1.1,22.5,76,0
9,9.5,1.1,22.5,59,0
10,27.0,1.1,20,7,0
12,9.5,1.1,22.5,112,0
21,5.75,1.1,20,2,0
23,2,1.1,20,1,0
24,9.5,1.1,22.5,44,0
25,7.0,1.725,50.0,13,0
26,8.25,1.1,15.0,22,0
28,2,1.1,20,1,0
29,3.25,1.1,18.75,10,0
32,27.0,1.1,20,6,0
33,7.3125,1.1,20,15,0
36,8.25,1.1,20,3,0
43,27.0,1.1,20,8,0
47,2,1.1,20,1,0
48,9.5,1.1,16.25,30,0
50,2,1.1,20,1,0
51,27.0,1.1,20,8,0
55,9.5,1.1,22.5,37,0
62,9.5,1.1,22.5,562,0
63,7.0,1.725,50.0,13,0
64,27.0,1.1,20,6,0
65,2,1.1,20,1,0
69,2,1.1,20,1,0
73,2,1.1,20,1,0
75,5.75,1.1,20,2,0
77,8.25,1.1,20,3,0
78,8.25,1.1,20,3,0
80,9.5,1.1,22.5,66,0
82,9.5,1.1,22.5,1245,0
83,8.25,1.1,20,3,0
84,8.25,1.1,20,5,0
85,8.25,1.1,20,4,0
93,7.0,0.1499999999999999,22.5,12,0
96,9.5,1.1,22.5,44,0
97,8.25,1.1,20,4,0
99,8.5625,1.1,15.0,21,0
101,9.5,1.1,22.5,39,0
108,8.25,1.1,20,4,0
109,9.5,1.1,22.5,116,0
110,8.25,1.1,20,4,0
111,27.0,1.1,20,9,0
112,27.0,1.1,20,6,0
113,27.0,1.1,20,8,0
115,9.5,1.1,22.5,64,0
117,9.5,1.1,18.75,59,1
119,3.25,1.1,18.75,10,0
122,12.0,1.1,17.5,96,667
123,9.5,1.1,22.5,116,0
124,9.5,1.1,22.5,47,0
126,1.21875,1.1,20,16,0
127,9.5,1.1,22.5,83,0
128,8.25,1.1,20,3,0
129,9.5,1.1,22.5,33,0
131,1.21875,1.1,20,16,0
133,1.21875,1.1,20,16,0
134,9.5,1.1,22.5,69,0
146,8.875,1.1,17.5,29,0
147,9.5,1.1,22.5,34,0
152,9.5,1.1,22.5,54,0
153,8.25,1.1,20,5,0
154,9.5,1.1,22.5,2360,3
155,12.0,0.7875000000000001,17.5,35,991
156,9.5,1.1,22.5,418,4
176,8.25,1.1,20,3,0
212,1.84375,1.1,30.0,11,0
323,7.0,11.1,20,11,209
368,13.25,21.1,15.0,17,33
369,17.0,0.7875000000000001,20.15625,32,69
371,8.25,1.1,19.375,11,47
373,0.5,1.1,20,2,2
374,27.0,1.1,30.0,14,3
384,9.5,1.1,22.5,45,2
407,2,0.1499999999999999,19.6875,19,60
445,9.5,1.1,22.5,60,0
491,9.5,1.1,22.5,47,68
492,27.0,11.1,20,15,7
519,1.84375,1.1,30.0,11,0
522,7.0,6.4,22.5,11,6
523,2,1.1,20,12,18
524,27.0,3.9,15.0,15,7
526,7.3125,1.1,20,15,0
527,7.0,6.1,32.5,13,41
528,12.0,1.1,25.0,45,45
534,7.0,0.7875000000000001,22.5,20,25
579,1.84375,1.1,30.0,11,0
580,1.84375,1.1,30.0,11,0
581,1.84375,1.1,30.0,11,0
582,1.84375,1.1,30.0,11,0
583,7.0,0.1499999999999999,22.5,12,0
584,1.84375,1.1,30.0,11,0
585,1.84375,1.1,30.0,11,0
586,1.84375,1.1,30.0,11,0
587,1.84375,1.1,30.0,11,0
588,1.84375,1.1,30.0,11,0
589,1.84375,1.1,30.0,11,0
590,1.84375,1.1,30.0,11,0
591,1.84375,1.1,30.0,11,0
592,1.84375,1.1,30.0,11,0
593,27.0,1.1,20,7,0
594,0.34375,0.7875000000000001,28.75,11,3
595,8.25,1.1,20,3,0
596,7.3125,1.1,20,15,0
600,6.6875,0.1625000000000001,40.0,17,0
601,2,0.1499999999999999,20,11,10
602,27.0,1.1,20,9,0
606,17.0,1.1,22.5,30,65
607,27.0,1.1,20,9,0
608,8.25,1.1,20,5,0
611,8.25,1.1,20,5,0
616,27.0,1.1,20,11,91
621,12.0,1.1,20,54,24
622,7.0,0.1499999999999999,22.5,12,0
623,7.0,6.1,40.0,14,44
624,1.84375,1.1,38.75,13,100
625,0.125,0.1499999999999999,37.5,11,23
626,1.84375,0.1625000000000001,18.75,18,6
627,17.0,1.1,20.0,35,20
628,13.25,1.1,20,9,10
629,14.5,1.1,20,5,46
630,7.0,3.9,20,10,49
631,0.8125,0.1499999999999999,31.25,11,1
632,12.0,1.1,22.5,18,43
633,12.0,1.1,17.5,16,10
634,2,1.1,20,11,49
635,9.5,1.1,5.0,37,54
636,1.84375,0.1499999999999999,30.625,11,38
637,10.75,1.1,23.75,70,54
638,2,1.1,20,1,0
639,22.0,1.1,25.0,41,125
641,6.375,1.1,10.0,39,43
642,2,0.1499999999999999,30.0,11,4
643,27.0,1.1,20,8,0
645,3.25,1.1,18.75,10,0
648,4.5,1.1,18.75,11,1
649,1.21875,1.1,20,16,0
650,12.0,1.1,15.0,28,55
651,12.0,1.1,21.25,75,364
652,12.0,3.9,30.0,17,80
653,2,1.1,20,3,2
654,27.0,1.1,20,6,10
655,9.5,1.1,22.5,57,85
656,27.0,1.1,15.0,26,22
657,8.25,1.1,20,21,8
658,12.0,1.25625,22.5,30,4
659,17.0,1.1,13.75,28,1
661,17.0,0.7875000000000001,30.0,34,108
662,2,1.1,20,1,4
663,1.84375,1.1,30.0,11,0
664,1.84375,1.1,30.0,11,0
666,27.0,1.1,25.0,24,47
667,1.84375,1.1,30.0,11,0
668,1.84375,1.1,30.0,11,0
669,1.84375,1.1,30.0,11,0
670,2,1.1,20,4,5
671,7.625,1.1,10.0,19,0
673,3.25,1.1,18.75,10,0
675,27.0,1.1,20,6,0
677,8.25,1.1,20,5,0
679,5.75,1.1,20,2,0
681,17.0,1.1,15.0,37,33
683,8.25,1.1,20,4,0
684,2,1.1,20,1,0
686,8.25,1.1,20,4,0
687,8.25,1.1,20,4,0
688,7.625,1.1,10.0,19,0
689,2,1.1,20,1,0
690,27.0,1.1,20,9,0
691,27.0,1.1,20,7,0
692,1.84375,1.1,30.0,11,0
693,1.84375,1.1,30.0,11,0
694,1.84375,1.1,30.0,11,0
695,7.0,0.1499999999999999,22.5,12,0
696,7.0,0.1499999999999999,22.5,12,0
697,1.84375,1.1,30.0,11,0
698,7.0,0.1499999999999999,22.5,12,0
699,1.84375,1.1,30.0,11,0
700,1.84375,1.1,30.0,11,0
701,7.0,0.1499999999999999,22.5,12,0
702,1.84375,1.1,30.0,11,0
703,1.84375,1.1,30.0,11,0
704,1.84375,1.1,30.0,11,0
705,1.84375,1.1,30.0,11,0
706,1.84375,1.1,30.0,11,0
707,1.84375,1.1,30.0,11,0
708,1.84375,1.1,30.0,11,0
709,1.84375,1.1,30.0,11,0
710,1.84375,1.1,30.0,11,0
711,1.84375,1.1,30.0,11,0
