user_id,d,b,w,bookmarks,exercises
1,17.0,1.1,20.0,3556,679
2,8.25,1.1,20,3,0
6,8.25,1.1,20,3,0
7,2,1.1,20,1,0
8,17.0,1.1,20.0,76,0
9,17.0,1.1,20.0,59,0
10,2,1.1,15.0,7,0
12,17.0,1.1,20.0,112,0
21,5.75,1.1,20,2,0
23,2,1.1,20,1,0
24,17.0,1.1,20.0,44,0
25,7.0,1.1,10.0,13,0
26,27.0,1.1,15.0,22,0
28,2,1.1,20,1,0
29,7.0,1.1,20,10,0
32,27.0,1.1,20,6,0
33,7.0,1.1,0.0,15,0
36,8.25,1.1,20,3,0
43,2,1.1,10.0,8,0
47,2,1.1,20,1,0
48,17.0,1.1,20.0,30,0
50,2,1.1,20,1,0
51,2,1.1,10.0,8,0
55,17.0,1.1,20.0,37,0
62,17.0,1.1,20.0,562,0
63,7.0,1.1,10.0,13,0
64,27.0,1.1,20,6,0
65,2,1.1,20,1,0
69,2,1.1,20,1,0
73,2,1.1,20,1,0
75,5.75,1.1,20,2,0
77,8.25,1.1,20,3,0
78,8.25,1.1,20,3,0
80,17.0,1.1,20.0,66,0
82,17.0,1.1,20.0,1245,0
83,8.25,1.1,20,3,0
84,8.25,1.1,20,5,0
85,8.25,1.1,20,4,0
93,7.0,1.1,15.0,12,0
96,17.0,1.1,20.0,44,0
97,8.25,1.1,20,4,0
99,27.0,1.1,15.0,21,0
101,17.0,1.1,20.0,39,0
108,8.25,1.1,20,4,0
109,17.0,1.1,20.0,116,0
110,8.25,1.1,20,4,0
111,27.0,1.1,20,9,0
112,27.0,1.1,20,6,0
113,2,1.1,10.0,8,0
115,17.0,1.1,20.0,64,0
117,11.375,1.1,10.0,59,1
119,7.0,1.1,20,10,0
122,12.0,1.1,15.0,96,667
123,17.0,1.1,20.0,116,0
124,17.0,1.1,20.0,47,0
126,27.0,1.1,20,16,0
127,17.0,1.1,20.0,83,0
128,8.25,1.1,20,3,0
129,17.0,1.1,20.0,33,0
131,27.0,1.1,20,16,0
133,27.0,1.1,20,16,0
134,17.0,1.1,20.0,69,0
146,17.0,1.1,20.0,29,0
147,17.0,1.1,20.0,34,0
152,17.0,1.1,20.0,54,0
153,8.25,1.1,20,5,0
